# HDT throughput run started 2026-09-18T15:54:42+02:00
# config: virtual_file_size_mb=50 conn_interval_units=80 packet_size_bytes=506 delay=5
timestamp,phy,virtual_file_size_mb,throughput_kbps,avg_throughput_kbps,transfer_time_ms,connection_interval_ms,packet_size_bytes
2026-09-19T00:44:50+02:00,HDT7.5,50,3911,3426,122734,100,506
2026-09-19T00:46:58+02:00,HDT6,50,3460,3351,125172,100,506
2026-09-19T00:49:42+02:00,HDT4,50,2639,2580,162563,100,506
2026-09-19T00:53:03+02:00,HDT3,50,2156,2107,199110,100,506
2026-09-19T00:57:43+02:00,HDT2,50,1513,1511,277547,100,506
2026-09-19T00:59:50+02:00,HDT7.5,50,3814,3332,125781,100,506
2026-09-19T01:01:58+02:00,HDT6,50,3460,3343,125516,100,506
2026-09-19T01:04:43+02:00,HDT4,50,2591,2573,163032,100,506
2026-09-19T01:08:06+02:00,HDT3,50,2156,2086,201219,100,506
2026-09-19T01:12:48+02:00,HDT2,50,1545,1500,279640,100,506
2026-09-19T01:14:57+02:00,HDT7.5,50,3879,3306,126719,100,506
2026-09-19T01:17:05+02:00,HDT6,50,3460,3337,125719,100,506
2026-09-19T01:19:50+02:00,HDT4,50,2591,2565,163531,100,506
2026-09-19T01:23:12+02:00,HDT3,50,1271,2107,199187,100,506
2026-09-19T01:27:52+02:00,HDT2,50,933,1510,277719,100,506
2026-09-19T01:29:56+02:00,HDT7.5,50,3879,3417,122797,100,506
2026-09-19T01:32:05+02:00,HDT6,50,3446,3324,126203,100,506
2026-09-19T01:34:50+02:00,HDT4,50,2639,2579,162672,100,506
2026-09-19T01:38:12+02:00,HDT3,50,2156,2096,200203,100,506
2026-09-19T01:42:52+02:00,HDT2,50,1513,1509,278015,100,506
2026-09-19T01:44:59+02:00,HDT7.5,50,3814,3382,124078,100,506
2026-09-19T01:47:06+02:00,HDT6,50,3382,3331,125937,100,506
2026-09-19T01:49:52+02:00,HDT4,50,2607,2562,163750,100,506
2026-09-19T01:53:14+02:00,HDT3,50,2108,2106,199219,100,506
2026-09-19T01:57:56+02:00,HDT2,50,1513,1498,279937,100,506
2026-09-19T02:00:06+02:00,HDT7.5,50,2800,3296,127250,100,506
2026-09-19T02:02:14+02:00,HDT6,50,3380,3324,126313,100,506
2026-09-19T02:04:59+02:00,HDT4,50,2639,2568,163344,100,506
2026-09-19T02:08:22+02:00,HDT3,50,2124,2095,200156,100,506
2026-09-19T02:13:02+02:00,HDT2,50,1545,1509,278125,100,506
2026-09-19T02:15:11+02:00,HDT7.5,50,3267,3309,126922,100,506
2026-09-19T02:17:19+02:00,HDT6,50,3412,3340,125594,100,506
2026-09-19T02:20:03+02:00,HDT4,50,2639,2583,162469,100,506
2026-09-19T02:23:26+02:00,HDT3,50,2156,2095,200156,100,506
2026-09-19T02:28:06+02:00,HDT2,50,1545,1507,278344,100,506
2026-09-19T02:30:12+02:00,HDT7.5,50,2639,3387,123828,100,506
2026-09-19T02:32:20+02:00,HDT6,50,3380,3339,125672,100,506
2026-09-19T02:35:06+02:00,HDT4,50,2655,2560,164157,100,506
2026-09-19T02:38:27+02:00,HDT3,50,2156,2112,198640,100,506
2026-09-19T02:43:07+02:00,HDT2,50,1545,1511,277719,100,506
2026-09-19T02:45:11+02:00,HDT7.5,50,3911,3466,121140,100,506
2026-09-19T02:47:18+02:00,HDT6,50,3444,3350,125250,100,506
2026-09-19T02:50:02+02:00,HDT4,50,2591,2579,162625,100,506
