# HDT throughput run started 2026-08-21T14:17:49+02:00
# config: virtual_file_size_mb=50 conn_interval_units=40 packet_size_bytes=247 delay=5
timestamp,phy,virtual_file_size_mb,throughput_kbps,avg_throughput_kbps,transfer_time_ms
2026-08-22T10:24:08+02:00,HDT3,50,1639,1613,260037
2026-08-22T10:29:50+02:00,HDT2,50,1249,1231,340864
2026-08-22T10:32:37+02:00,HDT7.5,50,2576,2535,165424
2026-08-22T10:35:40+02:00,HDT6,50,2342,2302,182285
2026-08-22T10:39:20+02:00,HDT4,50,1952,1922,218317
2026-08-22T10:43:40+02:00,HDT3,50,1639,1618,259294
2026-08-22T10:49:22+02:00,HDT2,50,1249,1231,340820
2026-08-22T10:52:09+02:00,HDT7.5,50,2576,2536,165422
2026-08-22T10:55:13+02:00,HDT6,50,2342,2296,182658
2026-08-22T10:58:52+02:00,HDT4,50,1952,1923,218250
2026-08-22T11:03:13+02:00,HDT3,50,1639,1615,259747
2026-08-22T11:08:54+02:00,HDT2,50,1249,1233,340131
2026-08-22T11:11:41+02:00,HDT7.5,50,2576,2535,165429
2026-08-22T11:14:44+02:00,HDT6,50,2342,2314,181285
2026-08-22T11:18:23+02:00,HDT4,50,1952,1923,218119
2026-08-22T11:22:44+02:00,HDT3,50,1639,1614,259972
2026-08-22T11:28:26+02:00,HDT2,50,1249,1231,340844
2026-08-22T11:31:13+02:00,HDT7.5,50,2061,2532,165777
2026-08-22T11:34:16+02:00,HDT6,50,2342,2305,181980
2026-08-22T11:37:55+02:00,HDT4,50,1834,1925,217873
2026-08-22T11:42:17+02:00,HDT3,50,1639,1613,260181
2026-08-22T11:47:59+02:00,HDT2,50,1249,1230,341100
2026-08-22T11:50:46+02:00,HDT7.5,50,2576,2533,165641
2026-08-22T11:53:49+02:00,HDT6,50,2342,2308,181863
2026-08-22T11:57:28+02:00,HDT4,50,1952,1923,218129
2026-08-22T12:01:49+02:00,HDT3,50,1639,1615,259791
2026-08-22T12:07:31+02:00,HDT2,50,1249,1232,340564
2026-08-22T12:10:18+02:00,HDT7.5,50,2576,2533,165636
2026-08-22T12:13:21+02:00,HDT6,50,2342,2304,182047
2026-08-22T12:17:01+02:00,HDT4,50,1952,1920,218542
2026-08-22T12:21:22+02:00,HDT3,50,1639,1615,259698
2026-08-22T12:27:04+02:00,HDT2,50,1249,1232,340478
2026-08-22T12:29:50+02:00,HDT7.5,50,2576,2542,165072
2026-08-22T12:32:53+02:00,HDT6,50,2342,2308,181798
2026-08-22T12:36:33+02:00,HDT4,50,1952,1921,218315
2026-08-22T12:40:54+02:00,HDT3,50,1421,1615,259837
2026-08-22T12:46:36+02:00,HDT2,50,1249,1229,341188
2026-08-22T12:49:22+02:00,HDT7.5,50,2568,2550,164476
2026-08-22T12:52:25+02:00,HDT6,50,2342,2304,182052
2026-08-22T12:56:04+02:00,HDT4,50,1952,1924,217995
2026-08-22T13:00:25+02:00,HDT3,50,1639,1615,259724
2026-08-22T13:06:07+02:00,HDT2,50,999,1231,340722
2026-08-22T13:08:54+02:00,HDT7.5,50,2576,2531,165809
2026-08-22T13:11:58+02:00,HDT6,50,2342,2298,182589
2026-08-22T13:15:38+02:00,HDT4,50,1952,1917,218834
2026-08-22T13:19:59+02:00,HDT3,50,1639,1614,260142
2026-08-22T13:25:44+02:00,HDT2,50,1249,1231,340704
2026-08-22T13:28:31+02:00,HDT7.5,50,2061,2526,165997
2026-08-22T13:31:35+02:00,HDT6,50,2342,2300,182434
2026-08-22T13:35:14+02:00,HDT4,50,1952,1923,218052
2026-08-22T13:39:35+02:00,HDT3,50,1647,1613,260007
2026-08-22T13:45:17+02:00,HDT2,50,1249,1230,341002
2026-08-22T13:48:05+02:00,HDT7.5,50,2576,2529,165883
2026-08-22T13:51:07+02:00,HDT6,50,2342,2314,181288
2026-08-22T13:54:47+02:00,HDT4,50,1952,1920,218492
2026-08-22T13:59:08+02:00,HDT3,50,1639,1615,259690
2026-08-22T14:04:50+02:00,HDT2,50,1249,1229,341179
2026-08-22T14:07:39+02:00,HDT7.5,50,2420,2509,167285
2026-08-22T14:10:44+02:00,HDT6,50,1530,2280,183916
2026-08-22T14:14:24+02:00,HDT4,50,1952,1919,218612
2026-08-22T14:18:45+02:00,HDT3,50,1639,1614,260056
2026-08-22T14:24:27+02:00,HDT2,50,1249,1230,340980
2026-08-22T14:27:16+02:00,HDT7.5,50,2568,2498,167939
2026-08-22T14:30:22+02:00,HDT6,50,2342,2270,184789
2026-08-22T14:34:02+02:00,HDT4,50,1952,1919,218697
2026-08-22T14:38:23+02:00,HDT3,50,1639,1618,259318
2026-08-22T14:44:04+02:00,HDT2,50,1249,1232,340401
2026-08-22T14:46:54+02:00,HDT7.5,50,2576,2490,168472
2026-08-22T14:50:00+02:00,HDT6,50,2342,2274,184665
2026-08-22T14:53:40+02:00,HDT4,50,1952,1919,218612
2026-08-22T14:58:01+02:00,HDT3,50,1639,1612,260199
2026-08-22T15:03:43+02:00,HDT2,50,1249,1232,340413
2026-08-22T15:06:33+02:00,HDT7.5,50,2576,2484,169035
2026-08-22T15:09:40+02:00,HDT6,50,2342,2264,185435
2026-08-22T15:13:19+02:00,HDT4,50,1561,1927,217704
2026-08-22T15:17:39+02:00,HDT3,50,1639,1616,259522
2026-08-22T15:23:21+02:00,HDT2,50,1249,1232,340455
2026-08-22T15:26:12+02:00,HDT7.5,50,2576,2478,169303
2026-08-22T15:29:18+02:00,HDT6,50,2342,2258,185704
2026-08-22T15:32:57+02:00,HDT4,50,1952,1928,217627
2026-08-22T15:37:18+02:00,HDT3,50,1639,1617,259461
2026-08-22T15:43:00+02:00,HDT2,50,1249,1232,340505
2026-08-22T15:45:50+02:00,HDT7.5,50,2576,2487,168717
2026-08-22T15:48:57+02:00,HDT6,50,2342,2255,185958
2026-08-22T15:52:36+02:00,HDT4,50,1952,1923,218181
2026-08-22T15:56:57+02:00,HDT3,50,1639,1614,259848
2026-08-22T16:02:39+02:00,HDT2,50,1249,1230,341013
2026-08-22T16:05:27+02:00,HDT7.5,50,2576,2519,166470
2026-08-22T16:08:30+02:00,HDT6,50,2342,2314,181314
2026-08-22T16:12:10+02:00,HDT4,50,1952,1919,218651
2026-08-22T16:16:31+02:00,HDT3,50,1639,1616,259735
2026-08-22T16:22:12+02:00,HDT2,50,1249,1233,340288
2026-08-22T16:25:02+02:00,HDT7.5,50,2061,2489,168596
2026-08-22T16:28:09+02:00,HDT6,50,2342,2259,185718
2026-08-22T16:31:48+02:00,HDT4,50,1952,1921,218383
2026-08-22T16:36:09+02:00,HDT3,50,1639,1619,259120
2026-08-22T16:41:50+02:00,HDT2,50,1249,1233,340302
2026-08-22T16:44:38+02:00,HDT7.5,50,2576,2519,166596
2026-08-22T16:47:42+02:00,HDT6,50,2342,2294,182873
2026-08-22T16:51:21+02:00,HDT4,50,1952,1925,217857
2026-08-22T16:55:42+02:00,HDT3,50,1639,1617,259435
2026-08-22T17:01:24+02:00,HDT2,50,1249,1229,341161
2026-08-22T17:04:11+02:00,HDT7.5,50,2568,2540,165153
2026-08-22T17:07:13+02:00,HDT6,50,2342,2312,181524
2026-08-22T17:10:52+02:00,HDT4,50,1952,1931,217267
2026-08-22T17:15:13+02:00,HDT3,50,1639,1615,259735
2026-08-22T17:20:56+02:00,HDT2,50,1233,1228,341656
2026-08-22T17:23:42+02:00,HDT7.5,50,2576,2542,164992
2026-08-22T17:26:45+02:00,HDT6,50,2342,2310,181658
2026-08-22T17:30:23+02:00,HDT4,50,1959,1931,217208
2026-08-22T17:34:45+02:00,HDT3,50,1311,1612,260257
2026-08-22T17:40:27+02:00,HDT2,50,1249,1230,341122
2026-08-22T17:43:14+02:00,HDT7.5,50,2576,2533,165624
2026-08-22T17:46:17+02:00,HDT6,50,2342,2303,182099
2026-08-22T17:49:56+02:00,HDT4,50,1952,1925,217950
2026-08-22T17:54:17+02:00,HDT3,50,1639,1614,259820
2026-08-22T17:59:59+02:00,HDT2,50,1249,1232,340414
2026-08-22T18:02:46+02:00,HDT7.5,50,2576,2531,165709
